Key,Value
143457,"['제품 개발', 'CAD', 'AutoCAD', '회로 설계', 'ORCAD', '샘플 준비', '회로 분석', '샘플 관리', 'ADC']"
150907,['C / C++']
119760,
145699,
137606,
160880,['SQL']
159820,"['Linux', '유지보수', 'AWS', 'Windows 서버']"
151099,"['Git', 'Github', 'Unreal Engine', 'C#', 'Python', 'C++', 'CAN', 'ROS', 'Unity3D']"
164968,"['Android', 'Firebase', 'Kotlin', 'Android Studio', 'Mixpanel']"
162015,"['Git', 'Github', 'iOS', 'Linux', 'MySQL', 'HTML', 'JavaScript', 'Swift', 'AWS', 'Spring Framework']"
163881,"['Git', 'Django', 'GraphQL', 'Hadoop', 'React', 'Spark', 'Python', 'AWS', 'React Native', 'Kubernetes']"
97598,
110659,"['JIRA', 'Notion']"
157719,"['인공 지능', '컴파일러']"
157087,"['JavaScript', 'Jenkins', 'React Native']"
118596,
132712,
139893,
129618,"['Oracle', 'React', 'ASP .NET', 'C#', 'CSS', 'HTML', 'Java', 'JavaScript', 'SQL', 'C', 'C++', 'EMR', 'Bootstrap', 'WPF', 'PACS', 'MFC']"
142054,"['Git', 'Python', 'SQL', 'AWS']"
142900,"['Android', 'iOS', 'Java', 'Kotlin', 'PHP', 'Flutter']"
89500,"['React', 'CSS', 'TypeScript', 'HTML5', 'React.js', 'Redux']"
161478,"['TypeScript', 'React.js', 'Next.js']"
132268,"['Azure', '.NET', 'Google Cloud Platform', 'Hadoop', 'Pytorch', 'Tensorflow', 'Java', 'Python', 'Shell', 'SQL', 'Google Analytics', 'AWS', 'ETL', 'NoSQL', 'VBA', '데이터 마트', 'MSSQL']"
164056,"['Azure', 'Pytorch', 'Python', 'AWS', 'DevOps', 'ML']"
114560,"['Java', 'JavaScript', 'Python']"
129183,"['Git', 'iOS', 'HTML', 'Node.js', 'Python', 'AWS', 'React Native']"
138117,"['Linux', 'MySQL', 'Oracle', 'Java', 'UNIX', 'jQuery', 'Spring Framework', 'MSSQL']"
149328,['C++']
158045,"['JIRA', 'Pytorch', 'Python', 'R', 'SQL']"
152914,"['Android', 'Azure', 'iOS', 'MySQL', 'ASP .NET', 'C / C++', 'C#', 'JavaScript', 'MVC', 'AWS', 'API', 'Golang', 'MSSQL', 'Restful API']"
117580,
155186,
164103,
119348,
155158,"['Git', 'Github', 'Linux', 'React', 'Redis', 'Ruby on Rails', 'Python', 'Ruby', 'SQL', 'TypeScript', 'AWS', 'Docker', 'PostgreSQL', 'Next.js']"
147775,"['Pytorch', 'Tensorflow', 'Python', 'Docker', 'Kubernetes']"
148067,"['Linux', 'MySQL', 'React', 'C / C++', 'MFC']"
145934,"['Git', 'AJAX', 'Android', 'MySQL', 'Tensorflow', 'Java', 'JavaScript', 'Kotlin', 'Python', 'SQL', 'Swift', 'AWS', 'C++', 'NoSQL', 'Spring Framework', 'JPA']"
154609,"['MySQL', 'React', 'HTML', 'JavaScript', 'TypeScript', 'C++', 'NoSQL', 'PostgreSQL']"
160426,"['Java', 'JavaScript', 'Spring Framework', 'Spring Boot']"
114797,"['MATLAB', 'C', '펌웨어', '레이더', 'DSP', '알고리즘 개발']"
146594,['iOS']
159920,"['SQL', 'AWS', 'TCP', '서버', 'IP', 'API']"
123595,"['Python', '보안', '인프라', 'AWS']"
153864,
141263,"['Git', 'Linux', 'Python', 'C', 'Ubuntu', 'ROS']"
117879,
159155,
118398,"['C#', 'CSS', 'HTML', 'JavaScript', 'jQuery']"
35494,
162359,"['Confluence', 'Github', 'JIRA', 'Slack', 'HTML', 'Python', 'Scala', 'SQL', 'ETL', 'GCP', 'GCPs']"
149411,
159311,
